Type,Order,Mean,Std
LY-CoV016,1,0.979778253,0.001387145
LY-CoV016,2,0.988646145,0.001178977
LY-CoV016,3,0.991060132,0.001186438
LY-CoV016,4,0.991946562,0.001149939
LY-CoV555,1,0.928597307,0.007760097
LY-CoV555,2,0.937923109,0.007599438
LY-CoV555,3,0.940843555,0.007805053
LY-CoV555,4,0.940633045,0.008340415
REGN10987,1,0.742537317,0.013011914
REGN10987,2,0.863505549,0.01139874
REGN10987,3,0.848537098,0.013797491
REGN10987,4,0.836805511,0.010336491
S309,1,0.734871771,0.008103746
S309,2,0.864861122,0.00551959
S309,3,0.92366822,0.003318384
S309,4,0.934653559,0.003220336
S309,5,0.931111544,0.003623196
S309,6,0.916840755,0.003894491
ACE2,1,0.866355974,0.002286931
ACE2,2,0.958084783,0.001682691
ACE2,3,0.983056498,0.001184509
ACE2,4,0.990313051,0.000502807
ACE2,5,0.991562752,0.000447818
ACE2,6,0.990330584,0.000428033
